sale_id,order_id,order_date,order_year,order_quarter,month_name,customer_name,region,segment,sku,product_name,category,unit_cost,quantity,unit_price,discount_pct,line_revenue,line_margin
63,ORD-000026,2025-10-10,2025,4,October,Customer 040,South,Consumer,SKU-0026,Product 26,Furniture,18.92,4,24.69,0.0,98.76,23.08
64,ORD-000026,2025-10-10,2025,4,October,Customer 040,South,Consumer,SKU-0008,Product 8,Office,105.11,8,188.34,0.0,1506.72,665.84
65,ORD-000027,2025-04-11,2025,2,April,Customer 027,South,Consumer,SKU-0023,Product 23,Accessories,86.99,7,145.19,0.0,1016.33,407.4
66,ORD-000027,2025-04-11,2025,2,April,Customer 027,South,Consumer,SKU-0005,Product 5,Office,114.69,1,239.39,0.0,239.39,124.7
67,ORD-000028,2025-03-11,2025,1,March,Customer 015,West,Enterprise,SKU-0026,Product 26,Furniture,18.92,9,30.99,0.1,251.02,80.74
68,ORD-000028,2025-03-11,2025,1,March,Customer 015,West,Enterprise,SKU-0008,Product 8,Office,105.11,2,171.25,0.05,325.38,115.16
69,ORD-000029,2025-11-14,2025,4,November,Customer 034,North,SMB,SKU-0025,Product 25,Accessories,55.38,8,99.31,0.15,675.31,232.27
70,ORD-000029,2025-11-14,2025,4,November,Customer 034,North,SMB,SKU-0029,Product 29,Electronics,72.67,9,116.13,0.1,940.65,286.62
71,ORD-000029,2025-11-14,2025,4,November,Customer 034,North,SMB,SKU-0015,Product 15,Furniture,32.54,3,62.83,0.05,179.07,81.45
72,ORD-000030,2025-04-05,2025,2,April,Customer 017,North,Consumer,SKU-0027,Product 27,Electronics,12.36,5,24.15,0.1,108.67,46.88
73,ORD-000030,2025-04-05,2025,2,April,Customer 017,North,Consumer,SKU-0016,Product 16,Electronics,105.97,4,152.42,0.0,609.68,185.8
74,ORD-000031,2025-12-31,2025,4,December,Customer 019,North,Consumer,SKU-0009,Product 9,Furniture,101.79,6,151.23,0.1,816.64,205.9
75,ORD-000031,2025-12-31,2025,4,December,Customer 019,North,Consumer,SKU-0003,Product 3,Accessories,17.83,3,23.33,0.05,66.49,13.0
76,ORD-000032,2025-12-11,2025,4,December,Customer 010,West,Consumer,SKU-0003,Product 3,Accessories,17.83,7,28.14,0.1,177.28,52.47
77,ORD-000032,2025-12-11,2025,4,December,Customer 010,West,Consumer,SKU-0015,Product 15,Furniture,32.54,7,39.55,0.05,263.01,35.23
78,ORD-000033,2025-02-02,2025,1,February,Customer 050,Central,Enterprise,SKU-0028,Product 28,Furniture,72.66,10,112.58,0.0,1125.8,399.2
79,ORD-000034,2024-12-26,2024,4,December,Customer 020,Central,SMB,SKU-0028,Product 28,Furniture,72.66,7,124.62,0.15,741.49,232.87
80,ORD-000034,2024-12-26,2024,4,December,Customer 020,Central,SMB,SKU-0018,Product 18,Furniture,98.84,10,206.84,0.05,1964.98,976.58
81,ORD-000034,2024-12-26,2024,4,December,Customer 020,Central,SMB,SKU-0008,Product 8,Office,105.11,5,168.98,0.0,844.9,319.35
82,ORD-000034,2024-12-26,2024,4,December,Customer 020,Central,SMB,SKU-0013,Product 13,Office,7.24,6,13.41,0.05,76.44,33.0
83,ORD-000035,2024-06-18,2024,2,June,Customer 030,South,Enterprise,SKU-0020,Product 20,Furniture,113.89,9,134.2,0.05,1147.41,122.4
84,ORD-000035,2024-06-18,2024,2,June,Customer 030,South,Enterprise,SKU-0019,Product 19,Accessories,19.77,10,36.5,0.0,365.0,167.3
85,ORD-000036,2025-10-20,2025,4,October,Customer 028,North,Consumer,SKU-0028,Product 28,Furniture,72.66,8,97.42,0.0,779.36,198.08
86,ORD-000036,2025-10-20,2025,4,October,Customer 028,North,Consumer,SKU-0013,Product 13,Office,7.24,6,9.94,0.0,59.64,16.2
87,ORD-000037,2024-12-11,2024,4,December,Customer 049,West,Consumer,SKU-0009,Product 9,Furniture,101.79,7,144.02,0.0,1008.14,295.61
88,ORD-000037,2024-12-11,2024,4,December,Customer 049,West,Consumer,SKU-0016,Product 16,Electronics,105.97,1,205.21,0.0,205.21,99.24
89,ORD-000037,2024-12-11,2024,4,December,Customer 049,West,Consumer,SKU-0012,Product 12,Accessories,73.88,4,135.4,0.15,460.36,164.84
90,ORD-000037,2024-12-11,2024,4,December,Customer 049,West,Consumer,SKU-0002,Product 2,Office,93.39,1,200.52,0.0,200.52,107.13
91,ORD-000038,2024-01-21,2024,1,January,Customer 040,South,Consumer,SKU-0008,Product 8,Office,105.11,3,173.14,0.0,519.42,204.09
92,ORD-000038,2024-01-21,2024,1,January,Customer 040,South,Consumer,SKU-0019,Product 19,Accessories,19.77,4,32.39,0.0,129.56,50.48
93,ORD-000039,2025-01-12,2025,1,January,Customer 011,North,Enterprise,SKU-0025,Product 25,Accessories,55.38,3,119.78,0.0,359.34,193.2
94,ORD-000040,2025-08-15,2025,3,August,Customer 002,East,Enterprise,SKU-0019,Product 19,Accessories,19.77,7,30.97,0.15,184.27,45.88
95,ORD-000040,2025-08-15,2025,3,August,Customer 002,East,Enterprise,SKU-0007,Product 7,Electronics,63.38,2,112.29,0.15,190.89,64.13
96,ORD-000040,2025-08-15,2025,3,August,Customer 002,East,Enterprise,SKU-0008,Product 8,Office,105.11,2,197.82,0.0,395.64,185.42
97,ORD-000041,2025-12-01,2025,4,December,Customer 039,South,SMB,SKU-0026,Product 26,Furniture,18.92,10,37.31,0.0,373.1,183.9
98,ORD-000042,2025-06-29,2025,2,June,Customer 028,North,Consumer,SKU-0003,Product 3,Accessories,17.83,9,32.63,0.0,293.67,133.2
99,ORD-000042,2025-06-29,2025,2,June,Customer 028,North,Consumer,SKU-0028,Product 28,Furniture,72.66,7,146.3,0.0,1024.1,515.48
100,ORD-000042,2025-06-29,2025,2,June,Customer 028,North,Consumer,SKU-0014,Product 14,Office,106.05,6,192.73,0.05,1098.56,462.26
101,ORD-000043,2025-12-25,2025,4,December,Customer 010,West,Consumer,SKU-0006,Product 6,Furniture,116.77,9,252.66,0.0,2273.94,1223.01
102,ORD-000043,2025-12-25,2025,4,December,Customer 010,West,Consumer,SKU-0020,Product 20,Furniture,113.89,9,223.61,0.05,1911.87,886.86
103,ORD-000043,2025-12-25,2025,4,December,Customer 010,West,Consumer,SKU-0014,Product 14,Office,106.05,10,151.84,0.0,1518.4,457.9
104,ORD-000043,2025-12-25,2025,4,December,Customer 010,West,Consumer,SKU-0027,Product 27,Electronics,12.36,2,17.83,0.05,33.88,9.16
105,ORD-000044,2024-09-06,2024,3,September,Customer 049,West,Consumer,SKU-0019,Product 19,Accessories,19.77,10,36.61,0.0,366.1,168.4
106,ORD-000044,2024-09-06,2024,3,September,Customer 049,West,Consumer,SKU-0001,Product 1,Office,87.88,8,179.58,0.0,1436.64,733.6
107,ORD-000044,2024-09-06,2024,3,September,Customer 049,West,Consumer,SKU-0016,Product 16,Electronics,105.97,4,161.35,0.0,645.4,221.52
108,ORD-000044,2024-09-06,2024,3,September,Customer 049,West,Consumer,SKU-0011,Product 11,Electronics,67.03,5,139.04,0.15,590.92,255.77
109,ORD-000045,2024-10-09,2024,4,October,Customer 036,Central,Consumer,SKU-0017,Product 17,Accessories,14.85,4,18.41,0.15,62.59,3.19
110,ORD-000046,2025-02-20,2025,1,February,Customer 032,Central,Enterprise,SKU-0023,Product 23,Accessories,86.99,8,159.03,0.05,1208.63,512.71
111,ORD-000046,2025-02-20,2025,1,February,Customer 032,Central,Enterprise,SKU-0015,Product 15,Furniture,32.54,1,40.6,0.0,40.6,8.06
112,ORD-000047,2025-02-18,2025,1,February,Customer 045,North,Enterprise,SKU-0010,Product 10,Furniture,22.58,10,34.72,0.1,312.48,86.68
113,ORD-000047,2025-02-18,2025,1,February,Customer 045,North,Enterprise,SKU-0017,Product 17,Accessories,14.85,6,23.71,0.15,120.92,31.82
114,ORD-000048,2025-07-17,2025,3,July,Customer 022,North,Consumer,SKU-0023,Product 23,Accessories,86.99,8,124.78,0.0,998.24,302.32
115,ORD-000048,2025-07-17,2025,3,July,Customer 022,North,Consumer,SKU-0008,Product 8,Office,105.11,2,200.48,0.0,400.96,190.74
116,ORD-000048,2025-07-17,2025,3,July,Customer 022,North,Consumer,SKU-0004,Product 4,Electronics,23.19,9,49.82,0.15,381.12,172.41
117,ORD-000049,2024-07-08,2024,3,July,Customer 013,South,Enterprise,SKU-0024,Product 24,Office,119.44,8,172.03,0.1,1238.62,283.1
118,ORD-000049,2024-07-08,2024,3,July,Customer 013,South,Enterprise,SKU-0025,Product 25,Accessories,55.38,9,98.39,0.0,885.51,387.09
119,ORD-000050,2024-07-17,2024,3,July,Customer 019,North,Consumer,SKU-0012,Product 12,Accessories,73.88,3,108.41,0.15,276.45,54.81
120,ORD-000050,2024-07-17,2024,3,July,Customer 019,North,Consumer,SKU-0018,Product 18,Furniture,98.84,3,142.13,0.0,426.39,129.87
121,ORD-000051,2025-07-20,2025,3,July,Customer 019,North,Consumer,SKU-0021,Product 21,Accessories,35.48,8,44.62,0.0,356.96,73.12
122,ORD-000051,2025-07-20,2025,3,July,Customer 019,North,Consumer,SKU-0019,Product 19,Accessories,19.77,5,32.48,0.05,154.28,55.43
123,ORD-000052,2024-12-14,2024,4,December,Customer 012,West,SMB,SKU-0009,Product 9,Furniture,101.79,8,129.25,0.0,1034.0,219.68
124,ORD-000053,2025-02-14,2025,1,February,Customer 032,Central,Enterprise,SKU-0019,Product 19,Accessories,19.77,1,25.89,0.1,23.3,3.53
125,ORD-000054,2024-11-07,2024,4,November,Customer 006,North,Enterprise,SKU-0004,Product 4,Electronics,23.19,9,45.28,0.1,366.77,158.06
126,ORD-000054,2024-11-07,2024,4,November,Customer 006,North,Enterprise,SKU-0020,Product 20,Furniture,113.89,10,157.96,0.1,1421.64,282.74
127,ORD-000055,2025-01-24,2025,1,January,Customer 029,South,Consumer,SKU-0010,Product 10,Furniture,22.58,10,49.44,0.0,494.4,268.6
128,ORD-000055,2025-01-24,2025,1,January,Customer 029,South,Consumer,SKU-0019,Product 19,Accessories,19.77,10,23.99,0.15,203.91,6.21
129,ORD-000055,2025-01-24,2025,1,January,Customer 029,South,Consumer,SKU-0004,Product 4,Electronics,23.19,4,41.9,0.0,167.6,74.84
130,ORD-000055,2025-01-24,2025,1,January,Customer 029,South,Consumer,SKU-0022,Product 22,Furniture,115.9,2,152.4,0.0,304.8,73.0
131,ORD-000056,2025-07-19,2025,3,July,Customer 005,West,Enterprise,SKU-0001,Product 1,Office,87.88,7,142.63,0.1,898.57,283.41
132,ORD-000056,2025-07-19,2025,3,July,Customer 005,West,Enterprise,SKU-0016,Product 16,Electronics,105.97,5,125.5,0.0,627.5,97.65
133,ORD-000057,2025-12-24,2025,4,December,Customer 019,North,Consumer,SKU-0003,Product 3,Accessories,17.83,4,37.8,0.15,128.52,57.2
134,ORD-000057,2025-12-24,2025,4,December,Customer 019,North,Consumer,SKU-0019,Product 19,Accessories,19.77,4,31.56,0.1,113.62,34.54
135,ORD-000057,2025-12-24,2025,4,December,Customer 019,North,Consumer,SKU-0008,Product 8,Office,105.11,3,221.13,0.0,663.39,348.06
136,ORD-000057,2025-12-24,2025,4,December,Customer 019,North,Consumer,SKU-0003,Product 3,Accessories,17.83,1,23.61,0.0,23.61,5.78
137,ORD-000058,2025-09-01,2025,3,September,Customer 048,West,SMB,SKU-0015,Product 15,Furniture,32.54,2,53.44,0.0,106.88,41.8
138,ORD-000058,2025-09-01,2025,3,September,Customer 048,West,SMB,SKU-0023,Product 23,Accessories,86.99,7,186.14,0.1,1172.68,563.75
139,ORD-000058,2025-09-01,2025,3,September,Customer 048,West,SMB,SKU-0018,Product 18,Furniture,98.84,8,159.1,0.1,1145.52,354.8
140,ORD-000059,2024-02-10,2024,1,February,Customer 028,North,Consumer,SKU-0020,Product 20,Furniture,113.89,5,134.07,0.0,670.35,100.9
141,ORD-000059,2024-02-10,2024,1,February,Customer 028,North,Consumer,SKU-0022,Product 22,Furniture,115.9,10,204.73,0.0,2047.3,888.3
142,ORD-000059,2024-02-10,2024,1,February,Customer 028,North,Consumer,SKU-0025,Product 25,Accessories,55.38,5,97.2,0.0,486.0,209.1
143,ORD-000060,2025-04-26,2025,2,April,Customer 034,North,SMB,SKU-0030,Product 30,Electronics,13.16,5,17.64,0.1,79.38,13.58
144,ORD-000060,2025-04-26,2025,2,April,Customer 034,North,SMB,SKU-0014,Product 14,Office,106.05,8,229.86,0.05,1746.94,898.54
145,ORD-000060,2025-04-26,2025,2,April,Customer 034,North,SMB,SKU-0012,Product 12,Accessories,73.88,7,110.82,0.15,659.38,142.22
146,ORD-000060,2025-04-26,2025,2,April,Customer 034,North,SMB,SKU-0004,Product 4,Electronics,23.19,3,34.7,0.15,88.48,18.91
147,ORD-000061,2025-05-22,2025,2,May,Customer 019,North,Consumer,SKU-0027,Product 27,Electronics,12.36,9,14.69,0.0,132.21,20.97
148,ORD-000061,2025-05-22,2025,2,May,Customer 019,North,Consumer,SKU-0011,Product 11,Electronics,67.03,5,99.84,0.05,474.24,139.09
149,ORD-000061,2025-05-22,2025,2,May,Customer 019,North,Consumer,SKU-0028,Product 28,Furniture,72.66,9,146.5,0.0,1318.5,664.56
150,ORD-000061,2025-05-22,2025,2,May,Customer 019,North,Consumer,SKU-0022,Product 22,Furniture,115.9,9,189.51,0.0,1705.59,662.49
151,ORD-000062,2024-07-11,2024,3,July,Customer 034,North,SMB,SKU-0020,Product 20,Furniture,113.89,8,205.76,0.0,1646.08,734.96
152,ORD-000062,2024-07-11,2024,3,July,Customer 034,North,SMB,SKU-0007,Product 7,Electronics,63.38,5,109.44,0.0,547.2,230.3
153,ORD-000062,2024-07-11,2024,3,July,Customer 034,North,SMB,SKU-0015,Product 15,Furniture,32.54,8,41.57,0.15,282.68,22.36
154,ORD-000063,2025-09-15,2025,3,September,Customer 016,East,Consumer,SKU-0010,Product 10,Furniture,22.58,9,26.29,0.05,224.78,21.56
155,ORD-000063,2025-09-15,2025,3,September,Customer 016,East,Consumer,SKU-0003,Product 3,Accessories,17.83,4,39.08,0.0,156.32,85.0
156,ORD-000064,2025-04-17,2025,2,April,Customer 008,Central,Enterprise,SKU-0016,Product 16,Electronics,105.97,5,178.49,0.0,892.45,362.6
157,ORD-000064,2025-04-17,2025,2,April,Customer 008,Central,Enterprise,SKU-0014,Product 14,Office,106.05,8,231.11,0.0,1848.88,1000.48
158,ORD-000065,2025-04-12,2025,2,April,Customer 036,Central,Consumer,SKU-0013,Product 13,Office,7.24,4,15.33,0.1,55.19,26.23
159,ORD-000065,2025-04-12,2025,2,April,Customer 036,Central,Consumer,SKU-0024,Product 24,Office,119.44,3,245.72,0.0,737.16,378.84
160,ORD-000066,2025-02-28,2025,1,February,Customer 022,North,Consumer,SKU-0027,Product 27,Electronics,12.36,1,17.88,0.0,17.88,5.52
161,ORD-000066,2025-02-28,2025,1,February,Customer 022,North,Consumer,SKU-0027,Product 27,Electronics,12.36,10,21.74,0.15,184.79,61.19
162,ORD-000066,2025-02-28,2025,1,February,Customer 022,North,Consumer,SKU-0016,Product 16,Electronics,105.97,3,171.55,0.05,488.92,171.01
163,ORD-000067,2024-12-19,2024,4,December,Customer 022,North,Consumer,SKU-0015,Product 15,Furniture,32.54,6,67.13,0.15,342.36,147.12
164,ORD-000067,2024-12-19,2024,4,December,Customer 022,North,Consumer,SKU-0008,Product 8,Office,105.11,10,163.14,0.05,1549.83,498.73
165,ORD-000067,2024-12-19,2024,4,December,Customer 022,North,Consumer,SKU-0002,Product 2,Office,93.39,6,180.42,0.15,920.14,359.8
166,ORD-000067,2024-12-19,2024,4,December,Customer 022,North,Consumer,SKU-0030,Product 30,Electronics,13.16,7,20.47,0.15,121.8,29.68
167,ORD-000068,2025-10-29,2025,4,October,Customer 010,West,Consumer,SKU-0002,Product 2,Office,93.39,3,156.65,0.1,422.96,142.79
168,ORD-000068,2025-10-29,2025,4,October,Customer 010,West,Consumer,SKU-0011,Product 11,Electronics,67.03,2,138.61,0.05,263.36,129.3
169,ORD-000068,2025-10-29,2025,4,October,Customer 010,West,Consumer,SKU-0004,Product 4,Electronics,23.19,9,48.84,0.0,439.56,230.85
170,ORD-000068,2025-10-29,2025,4,October,Customer 010,West,Consumer,SKU-0024,Product 24,Office,119.44,3,188.77,0.15,481.36,123.04
171,ORD-000069,2024-06-07,2024,2,June,Customer 005,West,Enterprise,SKU-0026,Product 26,Furniture,18.92,5,28.48,0.15,121.04,26.44
172,ORD-000069,2024-06-07,2024,2,June,Customer 005,West,Enterprise,SKU-0013,Product 13,Office,7.24,2,14.8,0.15,25.16,10.68
173,ORD-000069,2024-06-07,2024,2,June,Customer 005,West,Enterprise,SKU-0028,Product 28,Furniture,72.66,9,112.55,0.0,1012.95,359.01
174,ORD-000069,2024-06-07,2024,2,June,Customer 005,West,Enterprise,SKU-0021,Product 21,Accessories,35.48,8,73.3,0.0,586.4,302.56
175,ORD-000070,2025-09-24,2025,3,September,Customer 005,West,Enterprise,SKU-0021,Product 21,Accessories,35.48,5,77.96,0.15,331.33,153.93
176,ORD-000070,2025-09-24,2025,3,September,Customer 005,West,Enterprise,SKU-0003,Product 3,Accessories,17.83,7,38.82,0.15,230.98,106.17
177,ORD-000071,2025-12-21,2025,4,December,Customer 007,Central,Consumer,SKU-0006,Product 6,Furniture,116.77,5,245.05,0.0,1225.25,641.4
178,ORD-000071,2025-12-21,2025,4,December,Customer 007,Central,Consumer,SKU-0011,Product 11,Electronics,67.03,1,97.73,0.0,97.73,30.7
179,ORD-000071,2025-12-21,2025,4,December,Customer 007,Central,Consumer,SKU-0014,Product 14,Office,106.05,3,149.15,0.05,425.08,106.93
180,ORD-000071,2025-12-21,2025,4,December,Customer 007,Central,Consumer,SKU-0019,Product 19,Accessories,19.77,3,26.26,0.0,78.78,19.47
181,ORD-000072,2025-09-16,2025,3,September,Customer 025,West,Consumer,SKU-0016,Product 16,Electronics,105.97,10,137.79,0.05,1309.0,249.3
182,ORD-000072,2025-09-16,2025,3,September,Customer 025,West,Consumer,SKU-0021,Product 21,Accessories,35.48,5,57.92,0.15,246.16,68.76
183,ORD-000073,2024-01-10,2024,1,January,Customer 030,South,Enterprise,SKU-0022,Product 22,Furniture,115.9,9,152.51,0.05,1303.96,260.86
184,ORD-000073,2024-01-10,2024,1,January,Customer 030,South,Enterprise,SKU-0012,Product 12,Accessories,73.88,10,108.17,0.05,1027.62,288.82
